CUI,CAEN,ACTIVE IMOBILIZATE - TOTAL,ACTIVE CIRCULANTE - TOTAL din care:,Stocuri,Creante,Casa si conturi la banci,CHELTUIELI IN AVANS,DATORII,VENITURI IN AVANS,PROVIZIOANE,CAPITALURI - TOTAL din care:,Capital subscris varsat,Patrimoniul regiei,Cifra de afaceri neta,VENITURI TOTALE,CHELTUIELI TOTALE,Profitul brut,Pierdere bruta,Profitul net,Pierdere neta,Numar mediu de salariati
18891497,4633,203804,31418620,4248883,7227344,19942393,53498,31326821,,,349101,10748700,,75628986,76397064,83147829,0,6750765,0,7793095,52
18894930,7112,508655,8376500,,8365172,11328,,8562534,,,322621,3550,,7012901,7605156,7189272,415884,0,402198,0,14
18897481,7219,224887017,5229595,2637745,1435266,1156584,2495,3347244,2386147,,224385716,1193749,,24279838,26712086,26667043,45043,0,35907,0,168
18902723,5224,8221904,9448937,297725,9989828,-984801,238103,8743510,799220,1416868,6949346,1000,,33758523,35558554,33895526,1663028,0,1394342,0,401
18915227,7711,357975823,64634575,59289,59942057,4633229,2857826,347067451,4055538,262180,74083055,22694160,,102842423,206075320,201244341,4830979,0,4750642,0,28
18939374,4675,2789714,22693779,4933916,11972623,5787240,443283,21502431,0,0,4424345,4014140,,49782942,50813399,51625375,0,811976,0,885368,61
6500293,1011,12654955,20304346,1240776,9729444,9334126,,16210756,1274471,425638,15048436,2669650,,99996111,96599888,91200387,5399501,0,4642745,0,196
6519610,4663,4048871,87981552,26053973,7435602,12140849,119108,66194075,20340,298848,25636268,1380000,,93651929,97862033,88267283,9594750,0,8077483,0,68
6521644,6201,18120616,421993419,60685445,263436040,97871934,11743297,323513588,53101063,6512764,68729917,35845,,728593563,773645494,736431509,37213985,0,31962565,0,2840
6528510,4651,365564,33469005,16299708,13866451,22534,11229,21890953,,37872,11916973,5790000,,109981849,110938233,103968985,6969248,0,5865657,0,31
6529508,2399,40336793,71787687,16098519,46373732,9315436,250045,38590194,,737742,73046589,2000000,,110394138,123178056,112991195,10186861,0,7948617,0,151
6531770,1013,286100372,118860848,65893579,40522147,12445122,941107,255795912,,1606589,148499826,6013090,,651264423,655501118,633563975,21937143,0,19283066,0,2807
6532457,4711,58746111,44983705,22678061,4363011,17942633,,53080640,,,50649176,6520520,,218568626,220093328,209834576,10258752,0,9199077,0,794
6543790,1013,110764238,77870171,17343023,37060957,5214652,895689,122469232,2465349,,64595517,1840,,429746687,437550165,417885029,19665136,0,15759102,0,1042
6544184,4120,6222847,45961416,5732670,36113788,4114958,,29084634,614437,3350409,19134783,152200,,86963472,91420454,85959613,5460841,0,4684009,0,134
6547644,4639,12545903,16294070,5293021,4725242,5299169,4735,3503862,,,25340846,2000000,,82360963,84021395,83159698,861697,0,707250,0,125
6550631,147,88715663,28165379,7934079,8752365,11478935,439214,39833595,2819504,,74667157,1714400,,121816481,161304869,150916437,10388432,0,9471172,0,386
6551041,1089,54327383,59461880,35153482,12459075,11849323,443873,11478344,64832,55507,102634453,10411000,,98803918,102344093,86472704,15871389,0,13673649,0,221
6561703,4632,22695088,222014169,9151350,209724602,3138217,228627,234739330,,,10198554,38370,,606288260,607682432,602639610,5042822,0,4276873,0,978
6562512,4649,12175585,38651355,10968616,21266857,6415882,495596,48393105,10324,,2919107,15197249,,125241394,127032852,125105694,1927158,0,1927158,0,171
6565055,4634,6821091,36950031,15688397,20533772,727862,,31327539,,,12443583,300753,,165272169,165651179,157625788,8025391,0,6807853,0,262
6567900,4646,14778944,343015707,74439326,199745357,68831024,972298,264867249,,1434860,92464840,58393177,,881140789,892518341,889138375,3379966,0,3379966,0,429
6581999,4672,111053294,286334071,144788274,55403104,86142693,681917,100557184,48920,,297463178,60000000,,819187658,823058529,773430717,49627812,0,42949666,0,389
6600357,4636,33229271,18796499,0,11301313,7495186,0,4333310,,0,47692460,8850,,133792287,137255134,82052323,55202811,0,47625044,0,165
