CUI,CAEN,ACTIVE IMOBILIZATE ,ACTIVE CIRCULANTE ,Stocuri,Creante,Casa si conturi la banci,CHELTUIELI IN AVANS,DATORII,VENITURI IN AVANS,PROVIZIOANE,CAPITALURI - TOTAL din care:,Capital subscris varsat,Patrimoniul regiei,Cifra de afaceri neta,VENITURI TOTALE,CHELTUIELI TOTALE,Profitul brut,Pierdere bruta,Profitul net,Pierdere neta,Numar mediu de salariati
5212462,1623,22788682,8736749,3847096,3371831,738165,5189,8724865,,,22805755,2000000,,17795402,20180998,14246110,5934888,0,5917383,0,43
5212853,4639,1748729,1937957,696318,791285,450354,,1928752,,,1757934,41200,,10082422,10088431,9896972,191459,0,159333,0,27
5225721,7112,9122,77507,,48639,28868,,60994,,,25635,200,,117680,129049,133770,0,4721,0,6011,3
5226182,4617,3001742,10985205,5355210,5590080,39915,,6331108,,,7655839,1500000,,23375226,23800269,22182600,1617669,0,1415698,0,27
5254123,5630,,9818,3469,6327,22,,28150,,,-18332,200,,24780,24780,30113,0,5333,0,6076,1
5254131,4652,1810836,773093,679867,63788,29438,4690,3502479,,,-913860,46000,,4068529,4166424,3959908,206516,0,171235,0,19
5284590,1412,2316927,8519918,5101002,3022956,395960,92698,5865893,,,5063650,45000,,20826887,21108672,19610762,1497910,0,1290062,0,249
5293580,4639,229837,930735,338184,287763,304788,7235,526281,,,641526,19900,,9100470,9100477,8902306,198171,0,164772,0,17
9553713,4615,,31663,,4182,27481,,39830,,,-8167,15000,,0,0,,0,0,0,0,
9567590,145,9676706,18440197,5676175,5873457,6890565,,15734274,2832281,,9550348,37409,,63462068,64929393,55162320,9767073,0,8217355,0,36
9567670,4773,482357,914553,433014,457879,23660,,961851,,,435059,23000,,2843481,2864062,2842599,21463,0,7336,0,9
9586222,4773,422213,3939454,1922248,1840926,176280,,3349785,,,1011882,200,,10398666,10400306,10145865,254441,0,201862,0,17
9609318,6820,38383333,19720980,10452429,9235508,33043,138909,37542643,871385,,19829194,5000000,,10090450,48181941,30631005,17550936,0,13341240,0,33
9610207,8623,1707262,273535,152094,36015,85426,3292,421311,,,1562778,83200,,2418108,2423259,2043192,380067,0,361520,0,12
9622155,5530,150961,62073,9680,10273,42120,,10210,,,202824,200,,0,0,,0,0,0,0,
9638496,2599,14640210,3780162,345511,829784,2604867,41685,1197692,,,17264365,148360,,19676004,19823003,14508946,5314057,0,4480662,0,135
9660507,3240,3369096,5067108,3263275,1186972,616861,70000,4554731,0,0,3951473,200,0,14360127,15255103,14568639,686464,0,569246,0,84
9669441,4711,291686,483005,320511,91874,70620,0,692858,0,0,81833,200,0,4432141,4566818,4470673,96145,0,81593,0,12
9670527,4631,340782,11086887,3285290,6995440,803307,,10016332,,,1411337,7010,,10885531,11804964,10757031,1047933,0,891198,0,5
9678024,4638,2552844,4058712,883195,2826926,348591,46239,4408235,109725,,2139835,387000,,19885383,21201086,19270522,1930564,0,1612693,0,58
9692088,1392,1262149,880971,430239,443378,7354,,2043748,,,99372,50000,,3721595,3709060,3654267,54793,0,47849,0,21
9707731,1622,6052244,13147192,11791259,1278811,77122,115913,16074444,,,3240905,800000,,20496979,22069380,20887182,1182198,0,993594,0,125
9708869,4639,693,64742,-5177,68222,1697,,54193,,,11242,200,,1211549,1211549,1176064,35485,0,24294,0,5
9716888,4690,1953443,8255189,2736319,4326952,1191918,16046,21424934,9831,,-11210087,50000,,18634857,18821478,31267009,0,12445531,0,12445531,34
9723532,4941,,36973,655,20994,15324,,71082,,,-34109,200,,109985,109985,87727,22258,0,21158,0,1
9723540,8553,77052,102317,,,102317,,25978,,,153391,380,,153666,153666,123099,30567,0,29031,0,5
9731705,4669,1300352,2688956,1416515,1157235,115206,0,1165610,0,0,2823698,21140,0,4998095,5007571,4643012,364559,0,313071,0,7
9761439,4520,,316,,,316,,16893,,,-16577,200,,0,0,0,0,0,0,0,
9761447,4941,1399478,2010425,124857,1807007,78561,52081,2093306,,,1368678,200,,3115163,3403116,3335046,68070,0,57102,0,10
9822617,6201,473286,4100753,294255,2659907,868131,,697423,,,3876616,10000,,11939949,12095933,11521993,573940,0,475662,0,94
9877485,4619,734867,754493,457705,257753,39035,0,1436443,0,0,52917,14567,0,4206141,4219952,4036331,183621,0,164054,0,17
9884202,5510,4171568,615221,41762,88685,484774,229,983771,1134300,,2668947,535000,,1461044,1466431,1218460,247971,0,231902,0,15
9896622,4391,788578,2197739,641384,1241819,314536,,364794,1472898,,1148625,60000,,3096463,3096469,3095521,948,0,794,0,15
9922624,3600,1570291,1177975,42432,1046393,89150,25000,1256169,,,1517097,172000,,5127316,5298411,5290959,7452,0,4106,0,68
9947416,4662,13765817,10123546,7365240,2199054,559252,35124,11016499,721178,,12186810,3363920,,14588000,16801575,15004037,1797538,0,1551897,0,36
9953027,4941,1731989,1266795,,993499,273296,,2171067,,78404,749313,202000,,5226966,5603234,5467857,135377,0,91506,0,18
9965668,5610,3639887,368676,38280,114133,216263,1889,447905,,,3562547,6020,,2824392,2831941,2119567,712374,0,652271,0,27
14948825,4619,45664,1364605,167611,305403,891591,2377,358779,,,1053867,7470,,3686554,3724204,3065997,658207,0,562258,0,3
14953201,4673,1800521,7349537,5166145,2088396,94996,81981,6484208,,,2747831,43500,,24041157,24268201,21949830,2318371,0,1993623,0,79
14956771,4711,117107,769060,341616,15891,411553,,209057,,,677110,5000,,10353250,10384137,10012811,371326,0,316922,0,26
14959824,4334,,,,,,,29937,,,-29937,300,,0,0,,0,0,0,0,
14964340,9329,1620424,1699356,812192,667028,220136,12954,1743607,0,0,1589127,80500,0,7130993,7305239,5978800,1326439,0,1145709,0,10
14976930,6820,1030416,,,,,,0,,,1030416,1103000,,0,0,,0,0,0,0,
14979740,9200,451306,1036989,8357,30405,998227,442268,875065,,,1055498,30200,,39107849,39110457,36664384,2446073,0,2067726,0,12
14979759,7990,3628140,380105,74085,273368,32652,834,3278434,,,730645,290,,947589,954463,944098,10365,0,1960,0,7
14982894,8299,728299,695887,9412,-201717,888192,208549,1070208,,,562527,1000,,973051,1287741,741988,545753,0,536023,0,3
14990102,4511,3732131,3990165,827003,3103980,59182,18819,6727107,87420,,926588,2408000,,16570752,17363781,16961017,402764,0,402296,0,52
14994309,7311,743077,1440362,7,1109713,328868,83750,1235308,107059,,924822,5200,,2472722,2585450,2367133,218317,0,194383,0,12
14994333,4321,2665035,4373214,15987,3277590,1079637,6266,2136354,,1336977,3571184,200,,12719555,12806651,8774234,4032417,0,3363936,0,25
14998734,4391,1952176,402559,,385727,16832,,14497882,,81993,-12225140,10000000,,0,0,109,0,109,0,109,
15001659,4120,3112310,2704366,334956,2112087,257323,22730,1339306,,,4500100,90000,,4669683,4598322,4752020,0,153698,0,153698,
15003803,5630,556935,30887,30731,100,56,,902269,,,-314447,200,,657039,665043,724813,0,59770,0,71012,5
15003811,8621,33253,373457,510,217512,155435,,265632,,,141078,200,,890878,893928,744107,149821,0,140878,0,13
15015778,4730,28514,1477634,339269,1008469,129896,3772,601377,,,908543,50000,,8162813,8162766,7872127,290639,0,254802,0,34
15018251,4532,,55767,10267,45370,130,,57965,,,-2198,200,,0,0,,0,0,0,0,
15018260,2932,4751522,3651781,114646,3481921,55214,,5528365,,,2874938,1051800,,6289115,6306868,5649077,657791,0,531156,0,58
15018901,4941,4298954,1674194,124356,1480297,69541,103191,5007407,,,1068932,150000,,10410081,10685552,10609217,76335,0,49840,0,32
15021133,4741,,1372,,1368,4,,37021,,,-35649,1000,,0,0,,0,0,0,0,
15024350,4619,667774,6193000,405759,4704296,1082945,4099,5883279,,93258,888336,256130,,21456682,21475298,20746520,728778,0,580979,0,11
15028131,4619,9583,3511665,1860037,1513188,138440,227718,2686107,,,1062859,150000,,13948016,14323104,14275785,47319,0,40951,0,10
15036258,4322,112973,6798369,321177,6415387,61805,882,4743789,,,2168435,200,,20652148,20578178,19615960,962218,0,827554,0,37
15038569,3220,850810,798266,455681,11126,331459,3609,2292300,,,-639615,300,,1144712,1119762,1103160,16602,0,4090,0,10
15039785,4619,236559,4146384,688183,3271977,186224,676,728236,,567472,3087911,4860000,,9020953,9022466,8621678,400788,0,400788,0,13
15051207,3020,2288901,5428050,3282833,1673235,471982,7614,716921,196228,,6811416,1290,,4818473,4862899,4787672,75227,0,75227,0,46
15051614,7022,186213497,24856081,182668,15330669,9342744,7222,1521266,5877282,11980,203666272,185256210,,12338221,33173436,27228315,5945121,0,5220869,0,3
15051878,5510,15231504,1882269,74317,348403,1459549,5844,9052315,3442721,,4624581,1013035,,6051566,6248692,6037610,211082,0,172094,0,69
1090664,2620,1182282,845404,344536,445137,55731,948,540927,3692,4826,1479189,330,,1233040,1313050,1264301,48749,0,35731,0,15
1091660,4773,218801,482784,199404,248023,35357,,615387,,,86198,200,,837011,876055,981830,0,105775,0,105775,
1091848,4120,809082,1093491,243561,439723,410207,,221960,134993,,1545620,200,,2414570,2556524,1695725,860799,0,821605,0,17
1091910,4618,1345500,5737737,1885975,3914698,-62936,2682,3119237,,,3966682,50000,,15679708,15768888,15170988,597900,0,479313,0,26
1092690,4322,720127,5374751,2994149,1778261,602341,29802,4785514,,,1339166,192000,,3155625,3315508,3250459,65049,0,54641,0,22
1092738,6820,247258,1872764,,1825130,46634,,347958,,,1772064,7021128,,31921,307375,320356,0,12981,0,16214,1
1093113,4299,221,75081,36545,396,38140,156,283676,,,-208218,500200,,290887,294937,388363,0,93426,0,93426,
1093296,7911,1769359,1956246,,1678539,277707,85161,2797065,325510,13924,674267,10000,,21264468,21323888,20735797,588091,0,479141,0,17
1093393,6820,1601312,199145,,84746,114399,,285972,,,1514485,126523,,559308,559535,670489,0,110954,0,110954,10
1093849,4120,1333377,7354978,466521,1188535,5699922,,2665453,,849000,5173902,1232000,,4050402,4358682,4255754,102928,0,82339,0,49
1094038,1820,256608,4028755,58,2538461,-243479,85338,1509323,71551,,2789827,400000,,9940215,10003785,9383167,620618,0,514993,0,33
1094313,1439,132171,998846,39094,917879,41873,1512,9085320,,,-7952791,2327033,,535580,357642,3672135,0,3314493,0,3314493,33
1094402,4652,928804,2512396,560712,940839,1010845,46982,2655453,1288,,831441,48390,,5591877,6218783,5821960,396823,0,317146,0,14
1094542,4690,22217019,9472394,8250493,920396,215888,15337,11957385,30033,,19717332,2731557,,6635835,9254588,8267248,987340,0,668476,0,28
1094755,6820,2647590,884689,,876007,8682,,1029826,,,2502453,392296,,504697,742708,727790,14918,0,11716,0,6
1094976,4531,934269,1454743,432662,766249,255832,4297,635303,0,3938,1754068,106816,,4734974,4808646,4778947,29699,0,14369,0,14
1094992,4761,2512112,3548317,1888061,1276549,383707,,4424451,24543,,1611435,28920,,31195407,31319481,30271813,1047668,0,887989,0,89
1095424,7022,7957295,4018483,1908877,746601,1363005,,3878314,,,8097464,10200,,7595345,8403682,8053437,350245,0,350245,0,29
1095483,4399,21042168,5076363,928453,3976635,171275,62745,7048148,594362,,18538766,217000,,8623231,14428315,11240106,3188209,0,2684127,0,31
1095564,4751,426151,1218353,981516,232395,4442,126,1541745,,,102885,120220,,448214,448215,1076911,0,628696,0,628696,
1095653,4632,4241700,2618682,1551542,1022740,44400,8428,4532056,,,2336754,678000,,12665978,12781914,13036083,0,254169,0,254169,30
1095661,4778,2665838,2859946,565588,328174,1966184,1224,277547,,,5249461,832850,,2250399,2280530,1922301,358229,0,297265,0,22
1095742,2352,328158,4506657,6900,4489793,9964,,3117974,,,1716841,230695,,1710050,1714334,1718742,0,4408,0,9006,17
1095769,2369,283573219,144058590,298986,142981645,777959,,17452977,,,410178832,4025318,,87666,87667,635269,0,547602,0,547602,2
1096403,4213,11915042,7458116,2021977,4040169,1395970,1750000,22414144,1750000,110182,-3151168,2204905,,1005165,6064829,5622437,442392,0,442392,0,39
1097298,1413,1628555,1557928,524194,199594,140279,8347,277290,86220,0,2831320,1206020,0,972503,1143841,1105651,38190,0,30482,0,12
1097590,3250,40103,27113,5190,9002,12890,5799,10131,,,62884,200,,69604,69604,58093,11511,0,10817,0,2
1097816,4399,2273473,2546488,46555,1811875,688058,,1567705,,,3252256,200,,1996460,2003764,1491208,512556,0,488113,0,19
5314241,4120,6855158,3762342,155958,761272,2845112,12465,6318879,,,4311086,58000,,24431049,18666743,14042354,4624389,0,4040967,0,42
5314527,4674,2412531,21901352,11179421,4958636,5763295,52674,16649958,,,7716599,210,,14124737,17279339,15511080,1768259,0,1545565,0,33
5338410,4939,56745,5617,,3712,1905,,662547,,,-600185,7000,,950240,952325,1075852,0,123527,0,132188,18
5338470,5610,436925,336996,78318,183262,75416,586,481338,,,293169,5430,,2198816,2199632,1757900,441732,0,412719,0,25
5339351,1610,1109382,78775,10223,57363,11189,800,571674,,,617283,1000,,230234,230559,227312,3247,0,1129,0,4
5368845,9601,1485110,1777938,23138,1175883,578917,655,1834099,,,1429604,430,,253859,1032463,765979,266484,0,201824,0,3
5368853,1011,370523,678879,64017,163774,451088,10771,2820964,,,-1760791,200,,6841256,7965376,7674463,290913,0,290913,0,16
5396519,4752,1099260,8805562,7382480,1012688,410394,,4514578,,,5390244,2010,,11427815,11444086,10825540,618546,0,528142,0,47
5415785,2711,3722721,511431,327918,122924,60589,7246,3965375,,98160,177863,23548,,10957293,11065201,11336411,0,271210,0,271210,252
5415866,6201,2107653,4094992,75516,3428865,590611,43117,2166368,1391473,,2687921,43000,,7919004,8816955,8329320,487635,0,451846,0,63
5429810,7112,817257,6840230,2568803,2215228,114619,10031,667576,,,6999942,200,,4489322,4714528,3749362,965166,0,938641,0,24
5450103,4941,,9679,,,9679,,0,,,9679,7006,,0,0,,0,0,0,0,
