CUI,CAEN,ACTIVE IMOBILIZATE - TOTAL,ACTIVE CIRCULANTE - TOTAL din care:,Stocuri,Creante,Casa si conturi la banci,CHELTUIELI IN AVANS,DATORII,VENITURI IN AVANS,PROVIZIOANE,CAPITALURI - TOTAL din care:,Capital subscris varsat,Patrimoniul regiei,Cifra de afaceri neta,VENITURI TOTALE,CHELTUIELI TOTALE,Profitul brut,Pierdere bruta,Profitul net,Pierdere neta,Numar mediu de salariati
31739470,4649,1008868,33971218,18567644,14469659,933915,13799,24219777,0,,10774108,64050,,77745619,78069056,76831076,1237980,0,1237980,0,200
31861388,111,32100141,35021100,17857465,16814126,349509,,54641447,,,12479794,130000,,36361374,61840383,46970282,14870101,0,12323794,0,145
31906374,4741,102378,1132627,584708,316985,230934,6105,2421711,1300,,-1181901,5599410,,8072231,8094172,9571125,0,1476953,0,1476953,8
31940651,4631,281742,4882895,3013544,1736310,133041,17247,4409398,,,772486,460000,,50431217,51116222,51046883,69339,0,59988,0,33
31954525,7112,2477114,44144724,5588779,37978368,577577,253993,49922321,,,-3046490,1038800,,79820060,72858974,66708194,6150780,0,6150780,0,80
32024547,1039,11304238,14052136,10211292,3838045,2799,9120,18573516,,,6791978,7011000,,15757686,16906455,16169198,737257,0,737257,0,161
32202377,4639,33922,2709929,2351277,123001,235651,,2440367,2200,,301284,200,,10923600,10972763,10799170,173593,0,145818,0,8
32203399,6110,4911972,22533996,,22359428,174568,222234,23949545,,,3718657,10000,,162278703,168456926,166825086,1631840,0,1351918,0,37
32203534,4646,158712,32066962,4706378,26806369,554215,43729,22980477,,94786,9194140,15646450,,45386345,45844461,43486937,2357524,0,2357524,0,47
32264590,5510,23411166,16662083,294085,16315863,52135,90183,741804,9173,0,39412455,29316660,0,35944123,37124676,30571585,6553091,0,6553091,0,2
32266419,4663,1828710,16025561,3808925,10056222,2160414,131711,17241590,,88322,656070,4670000,,44387686,45376446,45325501,50945,0,50945,0,29
17168891,4742,17582285,10742982,5646367,4330040,766575,51611,21371135,5407,,7000336,200,,50827244,50898440,43996302,6902138,0,5970667,0,227
18133590,5229,,,,,,,0,,,0,,,0,0,,0,0,0,0,
18414510,812,16275355,9456448,3948874,5424633,82941,,21595153,2149868,,1986782,500000,,10195084,11957388,11893364,64024,0,44582,0,70
18900072,1051,7609,55042,46735,1045,7262,,19210,,,43441,150200,,112829,116729,107828,8901,,5399,,
21308632,2221,13016050,21982400,10765336,11529787,-312723,16898,19695489,0,0,15319859,5660800,0,54662433,55829293,54681916,1147377,0,914135,0,103
22429829,2221,7209734,10173570,3437563,2368610,4367397,0,8485267,2517881,0,6380156,10000,0,44996611,51852421,48047466,3804955,0,3297317,0,73
23630951,2511,50260284,53032729,28152462,21180544,3699723,180515,80901939,2551508,,20020081,2000000,,180582950,182221488,169770103,12451385,0,10784389,0,108
24929677,4941,4988318,3693707,238646,3329734,125327,222685,8419290,,,485420,10000,,13122247,13265903,13197555,68348,0,54838,0,32
25649420,210,,93054,53,75484,17517,3459,96513,,,0,,,719026,719358,718840,518,0,0,0,9
25858736,5229,11618303,10681621,3084113,7235094,362414,159991,17453895,188232,,4817788,500000,,42263966,43427398,42094752,1332646,0,1132284,0,105
26449268,2361,7373308,9920152,4454510,5216258,249384,12159,9344322,517655,,7443642,555000,,14695702,16634425,16168580,465845,0,367605,0,71
27289734,8129,3941843,6103901,130116,1887379,4086406,16711,2100467,,77321,7884667,6756000,,17224794,17295893,16924017,371876,0,308813,0,339
27351330,8130,83122,1503485,10386,964093,529006,,539042,516388,,531177,200,,2322768,2322956,2252413,70543,0,59091,0,59
27785550,146,8939232,34387002,10302951,23866078,217973,225491,15594454,,,27957271,520010,,62440973,62460429,54672176,7788253,0,6733087,0,44
28244668,1392,8580090,27200244,9326947,16643002,1230295,73188,24738130,,1360685,9754707,3500000,,87315250,87632315,82374942,5257373,0,4575751,0,266
28380783,8230,,139644,,126574,13070,,204252,24450,23407,-112465,1190020,,211567,211613,352780,0,141167,0,141167,2
29796091,150,28031371,19138131,7135867,11337413,664851,274011,26842448,,,20601065,500200,,59755454,74181532,59712313,14469219,0,13454989,0,35
30896051,8130,540,5770,,,5770,,0,,,6310,200,,0,60,4474,0,4414,0,4414,
31924214,3600,3362981,37034,841,12768,23425,,3464379,,,-64364,200,,334292,334292,334088,204,0,130,0,4
32373067,2229,2631963,5550749,2095147,2860288,318278,32195,3959268,,,4255639,2441500,,22437044,23900030,22478050,1421980,0,1206093,0,15
32402863,8621,,288092,,5675,282417,,3943,,,284149,200,,79456,79456,53607,25849,0,25053,0,2
33311224,147,1655537,14936072,2841751,11944826,149495,305,10331124,,,6260790,2000,,60228538,58743641,56493795,2249846,0,1991869,0,55
33435613,4941,2099015,2806514,1898,2731661,72955,1103,3769170,,,1137462,200,,6842787,8781056,8067081,713975,0,596459,0,90
33569607,2814,1553993,1087718,459424,577553,50741,146798,2154377,,,634132,2616620,,5874934,5880729,5763064,117665,0,117665,0,64
35251706,8622,,321428,,39061,282367,,10156,,,311272,200,,470436,470436,154655,315781,0,311072,0,5
37057162,3600,226,7926,,6883,1043,,44050,,,-35898,200,,279070,279701,287370,0,7669,0,7669,
37223699,8130,36026,409220,4775,359226,45219,,213796,,,231450,139000,,811948,797568,705623,91945,0,77969,0,8
1436882,147,17511561,17519549,4370221,9050586,4098742,223755,20058571,7736877,,7459417,2250000,,19088180,28681118,25576535,3104583,0,3101877,0,72
1437144,2221,9335592,10625803,3598643,4759270,2267890,29187,13832600,2124854,,4033128,1000000,,27844445,27559877,26586970,972907,0,830583,0,73
9100283,1812,15279384,10320720,622343,8371397,1326980,159565,13401112,249857,51313,12057387,763000,,38454013,38571234,35253548,3317686,0,2836337,0,168
9198786,4669,15376179,34362147,24992634,9163856,117417,22829,9923195,15708,,39822252,20000000,,41590155,42191366,41244660,946706,0,820114,0,75
9211737,4674,334651,6310699,3502889,2543882,68013,106450,4277107,,,2474693,100844,,7935371,7911972,7681832,230140,0,186618,0,13
9224427,6202,14576814,22687457,541341,21902870,243246,1067549,32305460,1996435,,4029925,500400,,31298758,31798365,31508710,289655,0,152981,0,29
9224451,4775,3956946,17260990,11614168,5091813,555009,289177,12283186,,,9223927,10534700,,29764594,33911587,33643490,268097,0,154657,0,340
9225910,6201,21279511,63091776,18675358,28253290,729682,990828,60511401,1368117,1792209,21690388,27000,,86446155,90696202,82704826,7991376,0,6574221,0,183
9227075,3831,75552059,9377809,2556645,6419150,402014,105799,14193076,,,70842591,200,,38837636,42110895,36374234,5736661,0,4773166,0,107
9311329,7010,53220484,23564396,11835592,10623781,1093967,,5349913,1521656,,69913311,,0,12675082,15873466,15870720,2746,0,1280,0,151
9336358,5221,2253120,22908248,,14530934,8377314,11503,9647722,0,811668,14713481,1800000,,61403066,61748914,57389246,4359668,0,3630322,0,8
9337019,5913,1365740,75560820,13257678,56359338,5943804,45512,58150756,0,2784308,16037008,573070,,130576567,136291749,131856989,4434760,0,3989297,0,
9394898,4621,25657335,15978020,7531279,5817076,2629665,7031,35703410,,554412,5384564,29250000,,31046786,39889990,43387031,0,3497041,0,3497041,25
